orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,is_planet
3.468073,0.0002439,0.014245,,,20.6,2.361,1.0
8.99088621,0.0004697,0.021706,,,93.6,4.2447,1.0
5.9142668,0.0002532,0.014481,,,17.4,2.661,1.0
29.2214959,0.000394,0.019962,,,14.6,4.014,1.0
44.8520997,0.0007808,0.02861,,,33.0,3.5729,1.0
83.5781976,0.0006307999999999999,0.023697,,,54.9,7.2487,1.0
6.1469956,0.0002496,0.014447,,,25.8,3.3153,1.0
2.403640701,7.49e-05,0.009671,,,16.3,1.4012,1.0
0.522457732,0.0001438,0.014601,,,48.2,0.8907,0.0
8.57504983,0.0001606,0.01127,,,36.9,8.653,1.0
7.64970832,5.54e-05,0.00812,,,28.5,6.625,1.0
17.72724392,0.016878,0.134419,,,109.7,4.1073,0.0
3.990105908,0.0061549,0.074711,,,247.8,2.4108,1.0
0.52205862,0.0013813,0.283326,,,169.0,2.0847,0.0
10.035381809,0.0028296999999999997,0.048571,,,150.9,3.4062,1.0
53.100942624,0.019981099999999998,0.226043,,,1108.5,2.2868,0.0
3.105507835,0.0009046,0.030988,,,178.6,1.7458,1.0
19.30581662,0.0007091,0.024067,,,36.3,4.2902,1.0
6.09747233,0.0002176,0.013336,,,17.4,3.431,1.0
56.637918,0.0005897000000000001,0.022163,,,20.9,6.172,1.0
2.243016513,0.0002996,0.017126,,,59.1,2.721,0.0
8.6531216,0.0006548,0.2427,,,35.7,4.39,0.0
14.00640392,0.0007164,0.025312,,,109.3,4.6919,1.0
4.45814897,0.0001881,0.013643,,,14.3,2.867,1.0
1.922799706,0.00025969999999999997,0.014398,,,30.1,1.8604,1.0
3.222975318,0.0002327,0.014062,,,31.3,2.9247,1.0
4.16811839,0.000263,0.015888,,,26.7,2.8084,1.0
2.470613377,0.0142309,0.123871,,,4304.3,1.74319,1.0
2.204735417,0.0066746999999999996,0.075522,,,5945.9,3.88864,1.0
3.747838198,0.000616,0.151387,,,138.2,5.0642,0.0
3.709214104,0.0001311,0.010424,,,50.6,2.6302,1.0
1.260258822,0.0011307,0.034238,,,128.2,1.8594,1.0
5.25449393,0.000169,0.013572,,,12.6,3.078,1.0
7.36178958,0.0002337,0.183387,,,47.7,5.022,0.0
18.79418506,0.001529,0.035431,,,40.2,3.2906,1.0
6.73893544,0.0006012999999999999,0.021833,,,24.2,2.813,1.0
14.49839316,0.0032711,0.06429,,,125.6,3.7343,0.0
10.3392408,0.0011845999999999998,0.031329,,,51.4,3.075,1.0
19.40393776,0.0089187,0.096729,,,214.7,12.2155,0.0
5.412203927,0.0006016,0.024775,,,166.7,2.9472,1.0
19.221388942,0.074284,0.476633,,,2317.0,4.79843,0.0
2.03746414,0.0001388,0.010807,,,14.1,2.895,0.0
16.46983774,0.0104789,0.092509,,,303.4,9.4378,0.0
9.27358173,0.0012883,0.032563,,,87.2,3.2875,1.0
6.02930329,0.0019127,0.038838,,,65.4,1.5821,1.0
7.12594387,0.00019240000000000001,0.01512,,,47.1,3.0014,1.0
2.701287801,0.0008604,0.06584,,,48.3,3.3827,0.0
4.49876511,0.00046,0.019817,,,29.5,3.7362,1.0
13.57078281,0.0005117,0.023908,,,88.4,3.3539,1.0
19.651209505,0.011766299999999999,0.106953,,,513.4,5.2514,0.0
41.43958662,0.0027930999999999997,0.048175,,,141.1,10.5989,1.0
8.35389523,0.0010416,0.029305,,,43.4,2.2514,1.0
4.125543472,0.0014873,0.036796,,,128.6,3.1744,1.0
15.33528675,0.0030814,0.056,,,86.6,3.897,1.0
31.33046135,0.0050738,0.072904,,,117.2,5.176,1.0
190.3200468,0.0011417,0.034654,,,139.3,15.284,1.0
6.54626149,0.0006559,0.024555,,,24.8,2.75,1.0
269.306232,0.001708,0.269007,,,18.1,14.931,0.0
499.47338,0.001662,0.041532,,,15.7,12.248,0.0
12.71809866,0.0011494,0.030871,,,52.7,3.0957,1.0
4.14810719,0.00017519999999999998,0.011755,,,12.9,2.535,1.0
16.51410989,0.0009735,0.028718,,,55.9,4.1575,1.0
30.1329298,0.0010157999999999999,0.03322,,,44.8,5.172,1.0
4.79090809,0.00025130000000000004,0.014349,,,21.2,2.603,1.0
99.6415962,0.0009525,0.027879,,,22.7,4.448,1.0
4.708326451,0.0079127,0.080242,,,633.4,3.16114,1.0
2.785821236,6.890000000000001e-05,0.008919,,,53.6,3.5599,1.0
52.56901867,0.0269,0.418905,,,184.3,6.7507,0.0
18.95491633,0.0008675,0.258011,,,249.3,24.249,0.0
15.663886949,0.0051443999999999995,0.112808,,,175.9,2.4775,0.0
4.348866254,0.0006256,0.219949,,,56.3,3.2797,0.0
47.93094546,0.0021444000000000003,0.321419,,,221.1,2.6897,0.0
8.408878137,0.0007989,0.025693,,,147.2,3.4967,1.0
1.63484631,,,,,,6.11,0.0
302.38867822,0.04132,0.435247,,,294.8,3.1229,0.0
31.82814583,0.0044568,0.356333,,,78.7,2.917,0.0
3.629442796,0.0004266,0.024717,,,76.4,5.63,0.0
5.72812616,0.0006434,0.023129,,,20.8,2.0295,1.0
1.714274727,0.0284601,0.427965,,,987.2,2.06728,0.0
137.75960504,0.083298,0.31234,,,885.9,9.1713,0.0
2.155278342,0.020739,0.18861,,,142.7,2.1064,0.0
3.661326482,0.017846,0.138476,,,424.6,2.5714,0.0
22.34293693,0.0026911,0.046145,,,35.3,7.0813,0.0
2.816504904,0.0168137,0.117059,,,1406.8,2.50587,1.0
33.93373447,0.008503700000000001,0.095386,,,236.1,14.561,0.0
4.280963604,0.0007507999999999999,0.025377,,,61.8,2.875,1.0
1.50635409,0.0022116999999999996,0.049899,,,181.1,1.5155,0.0
670.645531,0.0180906,0.131705,,,642.7,53.412,0.0
61.2563628,0.0051233,0.334628,,,85.3,7.633,0.0
36.06588163,0.0015638,0.035281,,,51.7,4.3246,1.0
4.190425659,0.0028774,0.050076,,,240.6,2.8589,1.0
3.709870784,0.0020203,0.040686,,,116.1,3.0694,1.0
16.3297527,0.0011875,0.034822,,,74.6,6.271,1.0
27.807566216,0.0253911,0.161479,,,748.1,4.21587,1.0
80.8723469,0.0036046,0.056129,,,160.9,11.195,1.0
16.37198661,0.0041476,8.358793,,,54.5,3.8449,0.0
5.392026903,0.0011514000000000001,0.030649,,,77.4,2.9804,1.0
4.093578461,0.0005386,0.026123,,,36.4,2.5833,1.0
105.145959,0.0006854,0.031397,,,15.4,8.593,1.0
10.8484518,0.0016756,0.036303,,,64.5,2.9993,1.0
6.66833241,0.0003623,0.018246,,,14.2,1.915,1.0
3.578780566,0.0113822,0.096067,,,1838.4,2.91089,1.0
1.592633181,0.0006331,0.022007,,,66.9,5.5605,0.0
5.177577252,0.0013254,0.376402,,,23.6,2.4777,0.0
4.28746668,0.0007901000000000001,0.025717,,,19.4,1.5693,1.0
2.002779769,0.0002605,0.014608,,,22.2,2.231,0.0
8.18739443,0.0005176,0.020743,,,38.4,3.0472,1.0
76.0498163,0.0004459,0.018858,,,17.4,7.158,1.0
