kepid,is_planet,orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,mission,pl_name
9414417,,53.5057611,0.00019559999999999998,0.013111,,,71.2,10.5616,kepler,
8218274,,1.187352427,0.020703,0.414215,,,717.4,4.999,kepler,
8242681,0.0,4.020628573,0.020901,0.150191,,,282.6,4.4085,kepler,
8260218,,5.714817603,0.0122948,0.101045,,,537.7,3.14126,kepler,
8246781,0.0,185.02288222,0.043546699999999994,0.333723,,,938.2,4.87326,kepler,
8264070,0.0,2.897432135,0.0012237,0.043891,,,73.9,3.1793,kepler,
8222813,1.0,8.70420525,0.0010749000000000002,0.030316,,,74.0,2.9385,kepler,Kepler-760 b
8222813,1.0,2.46697039,0.00030869999999999997,0.016558,,,29.5,1.6345,kepler,Kepler-760 c
8279765,0.0,2.757794163,0.039043,0.206038,,,349.2,2.7644,kepler,
8435247,,0.696125302,0.014966,0.386422,,,177.2,2.0054,kepler,
8330548,0.0,1.914158508,0.0078292,0.111651,,,124.6,3.2917,kepler,
8374494,0.0,5.251916208,0.0106243,0.390092,,,146.3,4.9095,kepler,
8414907,0.0,100.3039228,0.00545,0.35047,,,63.2,8.702,kepler,
8414907,0.0,200.61103346,,,,,,7.13,kepler,
8397446,0.0,0.986620248,0.0013457999999999999,0.29077,,,117.7,3.9722,kepler,
3442055,1.0,29.6193891,0.0003147,0.016028,,,42.5,4.9595,kepler,Kepler-795 b
4043190,1.0,6.40087137,0.0001336,0.012298,,,24.4,2.5561,kepler,Kepler-796 b
3640905,1.0,30.1599411,0.0001759,0.013612,,,32.3,7.874,kepler,Kepler-278 b
3640905,1.0,51.0771048,0.0001415,0.010971,,,24.1,11.233,kepler,Kepler-278 c
6613006,0.0,7.388833611,0.0130635,0.116455,,,1509.3,5.62857,kepler,
6606653,0.0,2.698021895,0.0067212,0.397083,,,647.1,23.192,kepler,
10925104,1.0,8.041347775,0.000591,0.02196,,,77.5,2.6332,kepler,Kepler-114 c
10538176,1.0,37.5142128,0.000935,0.027815,,,28.9,5.303,kepler,Kepler-284 c
10858691,1.0,1.796320953,0.0002109,0.013229,,,22.1,1.9139,kepler,Kepler-286 b
10858691,1.0,3.468073,0.0002439,0.014245,,,20.6,2.361,kepler,Kepler-286 c
8972058,1.0,8.99088621,0.0004697,0.021706,,,93.6,4.2447,kepler,Kepler-115 c
10858691,1.0,5.9142668,0.0002532,0.014481,,,17.4,2.661,kepler,Kepler-286 d
10858691,1.0,29.2214959,0.000394,0.019962,,,14.6,4.014,kepler,Kepler-286 e
10973814,1.0,44.8520997,0.0007808,0.02861,,,33.0,3.5729,kepler,Kepler-287 c
10713616,1.0,83.5781976,0.0006307999999999999,0.023697,,,54.9,7.2487,kepler,Kepler-1667 b
10963242,1.0,6.1469956,0.0002496,0.014447,,,25.8,3.3153,kepler,Kepler-814 b
8972058,1.0,2.403640701,7.49e-05,0.009671,,,16.3,1.4012,kepler,Kepler-115 b
10785538,0.0,0.522457732,0.0001438,0.014601,,,48.2,0.8907,kepler,
10585852,1.0,8.57504983,0.0001606,0.01127,,,36.9,8.653,kepler,Kepler-815 b
10928043,,6.84639884,0.00014969999999999998,0.013285,,,36.3,3.4919,kepler,
10794087,1.0,7.64970832,5.54e-05,0.00812,,,28.5,6.625,kepler,Kepler-1743 b
4079535,0.0,17.72724392,0.016878,0.134419,,,109.7,4.1073,kepler,
6631721,,13.73808249,0.0006607000000000001,0.029865,,,68.4,3.354,kepler,
4076098,1.0,3.990105908,0.0061549,0.074711,,,247.8,2.4108,kepler,Kepler-817 b
4551328,0.0,0.52205862,0.0013813,0.283326,,,169.0,2.0847,kepler,
4282872,1.0,10.035381809,0.0028296999999999997,0.048571,,,150.9,3.4062,kepler,Kepler-818 b
4639868,0.0,53.100942624,0.019981099999999998,0.226043,,,1108.5,2.2868,kepler,
4274548,,6.80082032,0.0006998999999999999,0.025016,,,25.5,1.9883,kepler,
5084942,1.0,3.105507835,0.0009046,0.030988,,,178.6,1.7458,kepler,Kepler-475 b
4455231,1.0,19.30581662,0.0007091,0.024067,,,36.3,4.2902,kepler,Kepler-288 c
4455231,1.0,6.09747233,0.0002176,0.013336,,,17.4,3.431,kepler,Kepler-288 b
4455231,1.0,56.637918,0.0005897000000000001,0.022163,,,20.9,6.172,kepler,Kepler-288 d
4285107,0.0,2.243016513,0.0002996,0.017126,,,59.1,2.721,kepler,
4150624,0.0,8.6531216,0.0006548,0.2427,,,35.7,4.39,kepler,
8107380,1.0,14.00640392,0.0007164,0.025312,,,109.3,4.6919,kepler,Kepler-476 b
4077526,1.0,4.45814897,0.0001881,0.013643,,,14.3,2.867,kepler,Kepler-58 e
4243911,1.0,1.922799706,0.00025969999999999997,0.014398,,,30.1,1.8604,kepler,Kepler-821 b
4466677,1.0,3.222975318,0.0002327,0.014062,,,31.3,2.9247,kepler,Kepler-822 b
4466677,,42.0370662,0.00026680000000000003,0.015824,,,14.7,6.282,kepler,
4466677,,21.0112068,0.0001636,0.013379,,,10.2,4.507,kepler,
4135665,1.0,4.16811839,0.000263,0.015888,,,26.7,2.8084,kepler,Kepler-823 b
11446443,1.0,2.470613377,0.0142309,0.123871,,,4304.3,1.74319,kepler,Kepler-1 b
